name,ratings,reviews,companytype,locations,Highly_Rated_For,Critically_Rated_For
Kotak Mahindra Life Insurance Company,3.5,3.6k,Insurance,Mumbai +257 other locations,"Promotions / Appraisal, Work Satisfaction, Company Culture",
Godrej & Boyce Manufacturing,3.9,3.6k,Consumer Electronics & Appliances,Mumbai +169 other locations,Job Security,Promotions / Appraisal
Cogent E Services,3.1,3.6k,BPO,Noida +56 other locations,"Company Culture, Work Satisfaction, Promotions / Appraisal",
Samvardhana Motherson Group,3.7,3.6k,Auto Components,Noida +94 other locations,Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Abbott,4.1,3.6k,Pharma,Mumbai +214 other locations,"Work Life Balance, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
Ipca Laboratories,3.8,3.6k,Pharma,Mumbai +161 other locations,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Aarti Industries,4.1,3.6k,Agro Chemicals,Bharuch +58 other locations,"Job Security, Work Life Balance, Company Culture",
PhonePe,4.0,3.6k,FinTech,Bengaluru +399 other locations,"Salary & Benefits, Company Culture, Work Life Balance",
Reliance Projects & Property Management Services,4.0,3.5k,Other,Kolkata +623 other locations,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
Indian Oil Corporation,4.4,3.5k,Oil & Gas,New Delhi +313 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Reliance Digital,4.2,3.5k,Retail,Mumbai +379 other locations,"Skill Development / Learning, Job Security, Company Culture",
MRF Tyres,3.6,3.5k,Auto Components,Chennai +194 other locations,"Company Culture, Work Satisfaction, Work Life Balance",
UNO Minda,4.0,3.5k,Auto Components,Pune +110 other locations,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
IGT Solutions,3.2,3.5k,BPO,New Delhi +47 other locations,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Alkem Laboratories,3.9,3.5k,Pharma,Mumbai +200 other locations,Salary & Benefits,Promotions / Appraisal
Johnson Controls,3.5,3.5k,Industrial Automation,Pune +58 other locations,"Promotions / Appraisal, Company Culture, Work Satisfaction",
"NTT DATA, Inc.",3.9,3.5k,IT Services & Consulting,Bengaluru +36 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Honda Motorcycle & Scooter,4.1,3.5k,Automobile,Gurugram +301 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Blinkit,3.8,3.5k,Internet,Gurugram +151 other locations,Salary & Benefits,"Promotions / Appraisal, Job Security"
ArcelorMittal Nippon Steel,4.1,3.5k,Iron & Steel,Surat +86 other locations,"Job Security, Work Life Balance, Company Culture",
[24]7.ai,3.4,3.4k,Software Product,Bengaluru +36 other locations,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Vishal Mega Mart,3.7,3.4k,Retail,New Delhi +377 other locations,Salary & Benefits,
Hindustan Coca Cola Beverages,4.0,3.4k,Beverage,Bengaluru +263 other locations,"Salary & Benefits, Skill Development / Learning, Company Culture",Promotions / Appraisal
UBS,3.8,3.4k,Financial Services,Pune +19 other locations,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security"
IndusInd Nippon Life Insurance,3.4,3.4k,Mumbai +490 other locations,,"Job Security, Work Satisfaction, Promotions / Appraisal",
DTDC Express,3.7,3.4k,Logistics,New Delhi +272 other locations,"Promotions / Appraisal, Salary & Benefits",
ABB,4.0,3.4k,Industrial Machinery,Bengaluru +109 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Bajaj General Insurance Limited,3.7,3.4k,Insurance,Pune +304 other locations,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",
Ford Motor,4.2,3.4k,Automobile,Chennai +131 other locations,"Company Culture, Work Life Balance, Salary & Benefits",
Barclays,3.7,3.4k,Banking,Pune +35 other locations,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Ceat Tyres,3.9,3.3k,Auto Components,Nagpur +142 other locations,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
RSPL Group,4.1,3.3k,FMCG,Kanpur +257 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
TVS Credit Services Ltd,4.2,3.3k,NBFC,Chennai +439 other locations,"Company Culture, Salary & Benefits, Work Life Balance",
NatWest Group,4.0,3.3k,Banking,Gurugram +28 other locations,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
AGS Health,4.0,3.3k,Analytics & KPO,Chennai +64 other locations,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
HARMAN,3.8,3.3k,Consumer Electronics & Appliances,Bengaluru +42 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
Croma,3.8,3.3k,Retail,Mumbai +192 other locations,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
InterGlobe Aviation,3.5,3.3k,Aviation,New Delhi +105 other locations,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",
Conduent,3.4,3.3k,BPO,Bengaluru +34 other locations,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
Alstom Transportation,3.7,3.2k,Engineering & Construction,Bengaluru +80 other locations,Job Security,"Promotions / Appraisal, Work Satisfaction"
Niva Bupa Health Insurance Company,4.0,3.2k,Insurance,New Delhi +321 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
Indian Air Force,4.6,3.2k,Defence & Aerospace,New Delhi +134 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",
Tata Technologies,3.4,3.2k,Engineering & Construction,Pune +58 other locations,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
GeBBS Healthcare Solutions,3.8,3.2k,BPO,Mumbai +24 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Tata AIG,4.0,3.2k,Insurance,Mumbai +260 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Allcargo Logistics,3.8,3.2k,Logistics,Mumbai +175 other locations,Promotions / Appraisal,
UPL,4.1,3.2k,Agro Chemicals,Ankleshwar +185 other locations,"Job Security, Work Life Balance, Skill Development / Learning",
Max Healthcare,4.0,3.1k,Healthcare,New Delhi +78 other locations,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
PepsiCo,4.0,3.1k,Food Processing,Hyderabad +280 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
